SpeciesName,Total_Histidines,Surface_Histidines,AvgBodyTemp
Bos taurus,73.0,35.0,38.5
Canis lupus familiaris,126.0,90.0,38.5
Fukomys damarensis,147.0,90.0,35.5
Heterocephalus glaber,121.0,75.0,31.0
Homo sapiens,83.0,36.0,36.5
Loxodonta africana,95.0,42.0,36.0
Macaca mulatta,78.0,21.0,37.0
Monodelphis domestica,4.0,4.0,35.0
Mus musculus,57.0,33.0,36.5
Myotis lucifugus,57.0,33.0,
Notamacropus eugenii,8.0,8.0,35.0
Ochotona princeps,74.0,49.0,40.0
Ornithorhynchus anatinus,4.0,4.0,32.5
Oryctolagus cuniculus,114.0,58.0,39.0
Physeter macrocephalus,41.0,36.0,36.5
Podarcis muralis,4.0,4.0,33.5
Sus scrofa,62.0,30.0,39.0
Vombatus ursinus,3.0,3.0,34.0
