SpeciesName	N_Terminal_Length	ChimeraX_Selection
Mus musculus	332	1-332
Cavia porcellus	338	1-338
Octodon degus	508	1-508
Heterocephalus glaber	459	1-459
Lamellibrachia satsuma	15	1-15
Lipotes vexillifer	351	1-351
Monodelphis domestica	107	1-107
Pelodiscus sinensis	95	1-95
Elephantulus edwardii	226	1-226
Vombatus ursinus	74	1-74
Apostichopus japonicus	102	1-102
Paramuricea clavata	9	1-9
Capricornis sumatraensis	112	1-112
Phascolarctos cinereus	113	1-113
Acropora millepora	10	1-10
Nematostella vectensis	11	1-11
Orchesella cincta	191	1-191
Stylophora pistillata	12	1-12
Myotis lucifugus	322	1-322
Varanus komodoensis	124	1-124
Podarcis muralis	127	1-127
Acropora digitifera	10	1-10
Lingula anatina	138	1-138
Strongylocentrotus purpuratus	120	1-120
Lontra canadensis	486	1-486
Ciona intestinalis	89	1-89
Oncorhynchus mykiss	65	1-65
Salmo salar	111	1-111
Alligator mississippiensis	102	1-102
Fukomys damarensis	556	1-556
Ornithorhynchus anatinus	112	1-112
Sarcophilus harrisii	141	1-141
Notamacropus eugenii	113	1-113
Macaca mulatta	413	1-413
Homo sapiens	428	1-428
Canis lupus familiaris	462	1-462
Ursus arctos	343	1-343
Mirounga angustirostris	374	1-374
Tursiops truncatus	192	1-192
Physeter macrocephalus	265	1-265
Loxodonta africana	449	1-449
Equus caballus	466	1-466
Sus scrofa	366	1-366
Bos taurus	425	1-425
Capra hircus	346	1-346
Ochotona princeps	309	1-309
Oryctolagus cuniculus	524	1-524
