SpeciesName,Total_CATSPER1_Length,N_Terminal_Length,N_Terminal_pI,AvgBodyTemp,N_Terminal_Histidine_Percent
Acropora digitifera,260,10,11.000256538391113,25.5,10.0
Acropora millepora,383,10,11.000256538391113,25.5,10.0
Alligator mississippiensis,430,102,11.238402748107909,30.5,1.9607843137254901
Apostichopus japonicus,456,102,10.067979240417479,16.0,2.941176470588235
Bos taurus,759,425,7.15502872467041,38.5,17.176470588235293
Canis lupus familiaris,897,462,6.945577049255371,38.5,27.48917748917749
Capra hircus,701,346,7.201068305969239,39.0,18.497109826589593
Capricornis sumatraensis,466,112,6.644671440124512,38.5,6.25
Cavia porcellus,688,338,9.040804481506349,39.5,15.976331360946746
Ciona intestinalis,465,89,9.812233161926269,15.0,4.49438202247191
Elephantulus edwardii,580,226,10.928309822082518,35.0,5.752212389380531
Equus caballus,820,466,7.043226432800293,37.5,25.536480686695278
Fukomys damarensis,953,556,6.802740669250488,35.5,26.43884892086331
Heterocephalus glaber,816,459,6.790179252624512,31.0,26.361655773420477
Homo sapiens,780,428,7.6090585708618175,36.5,19.39252336448598
Lamellibrachia satsuma,351,15,4.427894020080567,14.0,0.0
Lingula anatina,496,138,6.53872356414795,,3.6231884057971016
Lipotes vexillifer,705,351,7.527267265319826,36.0,19.08831908831909
Lontra canadensis,839,486,7.499529838562012,38.0,27.160493827160494
Loxodonta africana,804,449,6.990138816833496,36.0,21.158129175946545
Macaca mulatta,798,413,7.416317558288575,37.0,18.886198547215496
Mirounga angustirostris,727,374,8.63929538726807,,14.973262032085561
Monodelphis domestica,468,107,9.870899391174316,35.0,3.7383177570093453
Mus musculus,686,332,8.244233131408691,36.5,17.16867469879518
Myotis lucifugus,678,322,9.649837303161618,,17.391304347826086
Nematostella vectensis,385,11,11.16600475311279,20.0,9.090909090909092
Notamacropus eugenii,467,113,10.149467277526853,35.0,7.079646017699115
Ochotona princeps,663,309,6.332056999206543,40.0,23.948220064724918
Octodon degus,912,508,7.0476598739624015,38.5,13.779527559055119
Oncorhynchus mykiss,424,65,10.73645191192627,,4.615384615384616
Orchesella cincta,633,191,5.297132682800293,,2.6178010471204187
Ornithorhynchus anatinus,466,112,10.648259162902832,32.5,3.571428571428571
Oryctolagus cuniculus,1022,524,6.978771018981934,39.0,21.755725190839694
Paramuricea clavata,230,9,11.0003210067749,25.0,33.33333333333333
Pelodiscus sinensis,493,95,9.99525890350342,26.5,1.0526315789473684
Phascolarctos cinereus,467,113,10.088028907775879,35.5,6.1946902654867255
Physeter macrocephalus,619,265,9.374299430847167,36.5,15.471698113207546
Podarcis muralis,488,127,11.904425621032715,33.5,3.149606299212598
Salmo salar,470,111,10.060114097595214,14.0,3.6036036036036037
Sarcophilus harrisii,491,141,11.141055488586424,35.5,4.964539007092199
Strongylocentrotus purpuratus,474,120,6.653140449523926,17.5,5.833333333333333
Stylophora pistillata,340,12,9.700509452819823,25.5,16.666666666666664
Sus scrofa,724,366,9.006958580017091,39.0,16.939890710382514
Tursiops truncatus,547,192,8.017239952087401,36.5,7.291666666666667
Ursus arctos,696,343,9.688002586364746,37.5,5.539358600583091
Varanus komodoensis,626,124,11.769364356994632,34.5,3.225806451612903
Vombatus ursinus,428,74,8.896846580505372,34.0,4.054054054054054
