SpeciesName,CATSPER1,CATSPER2,CATSPER3,CATSPER4,CATSPERB,CATSPERD,CATSPERE,CATSPERG,CATSPERZ,EFCAB9,SLC6A1,TMEM249,TMEM262
Acropora digitifera,260.0,,,553.0,,,,,,211.0,,,
Acropora millepora,383.0,553.0,429.0,523.0,1207.0,,,1066.0,,202.0,,215.0,
Alligator mississippiensis,430.0,586.0,416.0,521.0,1167.0,786.0,983.0,1223.0,,188.0,599.0,232.0,116.0
Apostichopus japonicus,456.0,537.0,,,,,,,,221.0,,224.0,
Bos taurus,759.0,597.0,432.0,,1121.0,846.0,952.0,1177.0,204.0,230.0,606.0,356.0,175.0
Canis lupus familiaris,897.0,543.0,402.0,449.0,1120.0,833.0,1009.0,1334.0,241.0,,607.0,292.0,116.0
Capra hircus,701.0,571.0,409.0,468.0,1220.0,778.0,952.0,1263.0,196.0,,606.0,317.0,175.0
Capricornis sumatraensis,466.0,528.0,400.0,446.0,1107.0,798.0,960.0,1279.0,,,599.0,239.0,117.0
Cavia porcellus,688.0,567.0,396.0,449.0,1130.0,809.0,991.0,,194.0,,,250.0,116.0
Ciona intestinalis,465.0,586.0,429.0,489.0,,,,,,198.0,,184.0,
Elephantulus edwardii,580.0,462.0,,445.0,1103.0,774.0,,1078.0,,195.0,599.0,241.0,116.0
Equus caballus,820.0,592.0,400.0,484.0,1113.0,798.0,1056.0,1281.0,284.0,259.0,,291.0,178.0
Fukomys damarensis,953.0,561.0,394.0,455.0,1145.0,785.0,952.0,1393.0,231.0,217.0,599.0,255.0,116.0
Heterocephalus glaber,816.0,512.0,,470.0,1127.0,805.0,951.0,1167.0,193.0,216.0,599.0,306.0,116.0
Homo sapiens,780.0,530.0,398.0,472.0,1116.0,798.0,951.0,1159.0,200.0,197.0,,235.0,115.0
Lamellibrachia satsuma,351.0,584.0,,,,,,,,361.0,,,
Lipotes vexillifer,705.0,529.0,400.0,450.0,,850.0,,1014.0,209.0,198.0,602.0,392.0,116.0
Lontra canadensis,839.0,540.0,400.0,449.0,1113.0,781.0,951.0,1195.0,211.0,217.0,599.0,290.0,116.0
Loxodonta africana,804.0,524.0,399.0,448.0,1125.0,746.0,984.0,1208.0,288.0,211.0,600.0,269.0,125.0
Macaca mulatta,798.0,565.0,398.0,472.0,1116.0,823.0,957.0,1374.0,200.0,203.0,599.0,234.0,202.0
Mirounga angustirostris,727.0,604.0,400.0,432.0,1117.0,761.0,951.0,1253.0,234.0,219.0,599.0,331.0,116.0
Monodelphis domestica,468.0,530.0,396.0,449.0,1123.0,797.0,1071.0,1135.0,,205.0,600.0,337.0,158.0
Mus musculus,686.0,588.0,395.0,442.0,1109.0,805.0,985.0,1145.0,194.0,216.0,,171.0,116.0
Myotis lucifugus,678.0,528.0,398.0,467.0,1168.0,785.0,,1237.0,207.0,196.0,602.0,,168.0
Nematostella vectensis,385.0,540.0,414.0,,1108.0,,,1135.0,,198.0,,207.0,
Notamacropus eugenii,467.0,507.0,401.0,442.0,1011.0,801.0,952.0,,242.0,203.0,600.0,246.0,167.0
Ochotona princeps,663.0,555.0,400.0,453.0,1114.0,781.0,951.0,,242.0,262.0,599.0,291.0,136.0
Octodon degus,912.0,520.0,428.0,463.0,1123.0,795.0,907.0,1361.0,,,599.0,258.0,116.0
Oncorhynchus mykiss,424.0,494.0,414.0,482.0,1164.0,,946.0,,,,,250.0,
Orchesella cincta,633.0,478.0,,553.0,,,,,,441.0,,308.0,
Ornithorhynchus anatinus,466.0,592.0,397.0,532.0,1160.0,852.0,953.0,1172.0,,226.0,599.0,239.0,139.0
Oryctolagus cuniculus,1022.0,529.0,,,1108.0,852.0,1043.0,1159.0,,,,296.0,174.0
Paramuricea clavata,230.0,482.0,391.0,529.0,1047.0,,,,,131.0,,,
Pelodiscus sinensis,493.0,,403.0,500.0,,795.0,986.0,1027.0,,206.0,599.0,,136.0
Phascolarctos cinereus,467.0,506.0,403.0,440.0,1102.0,775.0,949.0,1173.0,237.0,203.0,600.0,246.0,116.0
Physeter macrocephalus,619.0,560.0,419.0,456.0,1174.0,847.0,952.0,1156.0,294.0,200.0,607.0,301.0,224.0
Podarcis muralis,488.0,476.0,403.0,,,784.0,983.0,1140.0,,,617.0,219.0,116.0
Salmo salar,470.0,496.0,416.0,482.0,1150.0,,833.0,1149.0,203.0,216.0,,212.0,
Sarcophilus harrisii,491.0,530.0,402.0,563.0,1183.0,838.0,1067.0,1141.0,243.0,203.0,602.0,241.0,140.0
Strongylocentrotus purpuratus,474.0,531.0,394.0,547.0,1001.0,789.0,,1102.0,,215.0,,203.0,
Stylophora pistillata,340.0,551.0,403.0,,,,,1073.0,,199.0,606.0,214.0,
Sus scrofa,724.0,538.0,425.0,,1114.0,793.0,951.0,1189.0,289.0,328.0,605.0,336.0,177.0
Tursiops truncatus,547.0,533.0,400.0,361.0,1115.0,790.0,952.0,1156.0,209.0,218.0,,337.0,116.0
Ursus arctos,696.0,534.0,400.0,449.0,1113.0,789.0,1075.0,1171.0,287.0,,599.0,283.0,116.0
Varanus komodoensis,626.0,544.0,424.0,,1050.0,790.0,,1159.0,,199.0,599.0,222.0,
Vombatus ursinus,428.0,546.0,403.0,444.0,1058.0,801.0,1071.0,1176.0,231.0,213.0,600.0,246.0,146.0
